alert_id,item_type,available,last_checked
ALERT001,id_document,True,2026-05-28T09:00:00
ALERT001,proof_of_address,True,2026-05-28T09:00:00
ALERT001,source_of_funds,True,2026-05-28T09:00:00
ALERT001,kyc_refresh,True,2026-05-28T09:00:00
ALERT001,transaction_history,True,2026-05-28T09:00:00
ALERT001,counterparty_screening,True,2026-05-28T09:00:00
ALERT001,sanctions_screening,True,2026-05-28T09:00:00
ALERT001,adverse_media_check,True,2026-05-28T09:00:00
ALERT001,beneficial_ownership,True,2026-05-28T09:00:00
ALERT001,expected_activity_profile,True,2026-05-28T09:00:00
ALERT001,pep_screening,True,2026-05-28T09:00:00
ALERT001,account_opening_docs,True,2026-05-28T09:00:00
ALERT001,wire_details,True,2026-05-28T09:00:00
ALERT001,customer_correspondence,True,2026-05-28T09:00:00
ALERT001,risk_assessment_memo,False,2026-05-28T09:00:00
ALERT002,id_document,True,2026-05-28T09:00:00
ALERT002,proof_of_address,True,2026-05-28T09:00:00
ALERT002,source_of_funds,True,2026-05-28T09:00:00
ALERT002,kyc_refresh,True,2026-05-28T09:00:00
ALERT002,transaction_history,True,2026-05-28T09:00:00
ALERT002,counterparty_screening,True,2026-05-28T09:00:00
ALERT002,sanctions_screening,False,2026-05-28T09:00:00
ALERT002,adverse_media_check,False,2026-05-28T09:00:00
ALERT002,beneficial_ownership,False,2026-05-28T09:00:00
ALERT002,expected_activity_profile,False,2026-05-28T09:00:00
ALERT003,id_document,True,2026-05-28T09:00:00
ALERT003,proof_of_address,True,2026-05-28T09:00:00
ALERT003,source_of_funds,True,2026-05-28T09:00:00
ALERT003,kyc_refresh,True,2026-05-28T09:00:00
ALERT003,transaction_history,True,2026-05-28T09:00:00
ALERT003,counterparty_screening,True,2026-05-28T09:00:00
ALERT003,sanctions_screening,True,2026-05-28T09:00:00
ALERT003,adverse_media_check,True,2026-05-28T09:00:00
ALERT003,beneficial_ownership,True,2026-05-28T09:00:00
ALERT003,expected_activity_profile,True,2026-05-28T09:00:00
ALERT003,pep_screening,True,2026-05-28T09:00:00
ALERT003,account_opening_docs,True,2026-05-28T09:00:00
ALERT003,wire_details,True,2026-05-28T09:00:00
ALERT003,customer_correspondence,True,2026-05-28T09:00:00
ALERT003,risk_assessment_memo,False,2026-05-28T09:00:00
ALERT004,id_document,True,2026-05-28T09:00:00
